Ramblers Frontier C | Mars Sector | 0.0.0.0:27015 | Ramblers Frontier - Mars Sector.
Corporate HQ of the Frontier Trade Network,,,,,,,,,
Type,Name,X,Y,Z,Size,Speed,VectorX,VectorY,VectorZ
LargeShip,"Large Grid 4712",1039919.11132576,117880.838533575,1695275.49341999,12.5,0,0,0,0
LargeShip,"Large Grid 6023",1039949.7377906,117902.484041387,1695275.56666218,10.41667,8.537553E-06,-6.871298E-06,-4.924834E-06,1.192093E-06
LargeShip,"Large Grid 4223",1039991.05834724,118081.51651209,1695602.81568561,79.16666,0.02490387,-0.004049655,0.01558116,-0.0190008
Ship,"Guard Partol 01",1040070.57624277,117371.044029655,1695512.80365115,1.916667,0,0,0,0
SmallShip,"Arwing Custom (Star Fox 64)",1040227.655149,117938.879060918,1695476.56373249,4.833333,0,0,0,0
LargeShip,"Midspace Scout",1039967.20361092,118138.331453497,1695576.09498249,56.25,0.05640881,0.05605736,-0.005829358,0.002354675
LargeShip,"The "Companion"  Compact Concept Ship",1049898.67820931,113029.408296123,1730218.27747644,112.5,0,0,0,0
SmallShip,"Shuttle",1053868.97302164,90373.2635576276,1816892.11110192,143.75,0,0,0,0
SmallShip,"SLS1 - X Mk III Delta (Flier)",1039928.6987281,117871.571932012,1695334.08814655,145.8333,0,0,0,0
LargeShip,"Manta (Lawless)",1039505.35400154,117389.017244512,1695760.54029499,110.4167,0,0,0,0
Station,"Karzok City Defence Tower 01",1040085.91533884,117362.278831901,1695510.86927157,120.8333,0,0,0,0
LargeShip,"Large Ship 3331",1050174.81297691,113177.845873382,1730295.17674903,25,0.001812791,0.001062744,0.001450233,0.0002315381
LargeShip,"Manta (Vanilla)",1040137.12721476,117861.956703605,1695452.1629346,102.0833,0,0,0,0
Station,"Base C Bunker",1039730.43983378,117647.876805967,1695363.61630061,206.25,0,0,0,0
SmallShip,"Static Grid 2248",1049895.15456757,112642.018512314,1730297.23415556,189.5833,0,0,0,0
Station,"Dragon Industries",1039602.28060814,117853.781551549,1695508.90811176,258.3333,0,0,0,0
Station,"Blue Mining Inc HQ",1040211.37968668,117904.422829093,1695473.2852872,1256.25,0,0,0,0
Station,"Olympus Mons",1039522.23146252,117517.441942246,1695691.95270084,487.5,0,0,0,0
LargeShip,"Raiding Station - Scourge",1050030.15163788,112892.812213486,1730429.66481962,135.4167,0,0,0,0
LargeShip,"Arcanas X2",1050532.90212616,114976.881305283,1730849.858179,91.66667,0,0,0,0
LargeShip,"Малый корабль 304",1049892.51183708,113033.551409271,1730240.34302501,1.916667,0,0,0,0
SmallShip,"ASM-2",1049894.91325481,113031.913975265,1730239.31523732,2.583333,0,0,0,0
LargeShip,"Малый корабль 7233",1049893.49270828,113034.627879646,1730238.9722269,1.916667,0,0,0,0
LargeShip,"TLF-28a (LSF CargoShip Mod)",1049905.45144257,112973.993854111,1730235.65407743,4.25,0,0,0,0
SmallShip,"Small Grid 5580",1041713.82201912,115842.756990606,1693389.13795124,0.5,0.008959574,0.00327592,-0.008336906,-0.0001956914
LargeShip,"Raiding Station - Scourge",1050063.3957386,113031.30563499,1730213.9762069,112.5,0,0,0,0
LargeShip,"X Gravity Research Station (Dx 9 or 10)",1050181.61549766,113169.11567929,1730321.41286734,270.8333,4.068188E-05,-9.140153E-06,-6.757877E-06,-3.906155E-05
SmallShip,"Spare Container MK-4",1040149.56274177,117921.023836309,1695451.52662311,1.083333,0.005583836,0.004107208,-0.003411948,-0.001633611
Station,"Static Grid 8382",1039857.74881787,117694.397874191,1695344.49648507,6.25,0,0,0,0
SmallShip,"Small Ship 3084",1039514.10815193,117438.158357793,1695744.80006061,1.083333,0.04850804,0.03654853,-0.0300417,-0.01071129
LargeShip,"BMI Lite Transport",1039715.14550545,117639.281404668,1695348.59107624,47.91666,0,0,0,0
SmallShip,"Front End Loader",1039517.55517342,117435.445711309,1695744.21412311,5.25,0.0579127,0.02433895,0.009033479,0.05176768
SmallShip,"Small Grid 8543",1039388.19897224,119129.540804083,1695801.73658405,0.5,0.01485882,-0.006287938,0.01034157,0.008619651
LargeShip,"BMI Civic Transport",1039616.70214607,117575.053865606,1695689.19849811,62.5,14.93554,14.33937,4.169611,-0.2590919
SmallShip,"Small Ship 4110",1039520.75756599,117435.04751795,1695743.42115436,1.083333,0.01673744,-0.01466352,0.005876187,0.005531132
LargeShip,"Arcanas X1",1050079.33152962,113011.17886497,1730221.14124597,85.41667,0,0,0,0
LargeShip,"Large Grid 9114",1050051.57693085,112930.259234971,1730237.83376493,100,0,0,0,0
Station,"Static Grid 7787",1039785.75181235,117673.493072667,1695366.57834021,83.33333,0,0,0,0
SmallShip,"Small Grid 3514",1040955.11047127,118179.195223028,1694794.56275593,0.5833333,0.01252097,-0.009796914,-0.007148487,0.003113559
SmallShip,"Small Ship 3697",1039514.51928474,117432.580721075,1695743.72095905,1.083333,0.01822298,0.01814771,-0.001248389,-0.001085818
SmallShip,"Small Ship 3613",1039520.61913826,117437.013582403,1695743.87720905,1.083333,0.03139841,0.03060562,0.006850662,-0.001491487
Ship,"Raiding Outpost mk.1",1062985.06752456,66385.3332750657,1791402.3836328,110.4167,0,0,0,0
SmallShip,"Small Grid 955",1039389.52660896,119129.623567754,1695801.85963093,0.5,0.01062908,0.006240994,0.006863831,0.005187973
SmallShip,"Raiding Station - Scourge",1051541.95544352,66476.3797685651,1823980.85035974,135.4167,0,0,0,0
SmallShip,"Small Grid 7514",1044633.84570076,120592.378221685,1691906.66675983,0.25,0.001780843,-0.001344956,-0.0009967731,0.0006074011
SmallShip,"Small Grid 5627",1041987.80990745,119419.741975958,1694098.11158405,0.4166667,0.01041558,-0.001897945,-0.009833641,-0.002860352
SmallShip,"Small Grid 3173",1045809.17822029,121151.705965215,1690713.99879108,0.3333333,0.001162601,-0.0009042551,-0.0007305618,1.557916E-05
SmallShip,"Small Grid 9919",1024753.25055004,142084.062962042,1570215.30759877,0.25,0.0001677464,-9.469513E-06,-0.0001333712,-0.0001012981
SmallShip,"Small Grid 2138",1038221.40356209,124935.978182012,1677106.32935749,0.25,520.4737,57.41388,-118.5911,503.5203
SmallShip,"Small Grid 7461",1042714.06628181,119809.785860235,1693546.51148639,0.25,0.02134703,-0.01770122,-0.003267936,0.01147533
SmallShip,"Container MK-1",1036664.11327888,114752.080232793,1695967.2561153,0.8333333,0.01011198,-0.001067894,0.009249926,0.003943417
SmallShip,"Container MK-13",1039669.02538826,117620.6061117,1695344.01099811,0.75,0.001776702,0.001363854,0.001138659,5.26011E-06
SmallShip,"Small Grid 9223",1024779.61033732,143771.103187876,1570460.28642363,0.25,0.001372252,0.0009793504,0.0009265887,0.0002556965
SmallShip,"Small Grid 2936",1027729.00259692,140981.886757211,1569615.38624663,0.4166667,0.0002087246,0.0001460451,0.0001371332,-5.857693E-05
SmallShip,"Small Grid 9841",1027396.84170825,142647.210182504,1570181.94370741,0.25,0.004677183,-0.004332601,-0.001618578,-0.0006962824
SmallShip,"Small Grid 578",1027640.13101489,140944.421547251,1569629.57905669,0.25,0.002285851,0.001474317,0.001716403,-0.0003247559
SmallShip,"Small Grid 9234",1036770.36523201,114196.545564825,1695813.25318561,0.5833333,0.0007096357,-0.0003049681,0.0002599098,0.0005856827
SmallShip,"Small Grid 3297",1040264.16894295,119465.370638067,1670520.28443561,0.4166667,575.8915,48.89651,-96.80243,565.5876
SmallShip,"Container MK-17",1041310.98046638,118005.321443731,1694531.23707233,1.333333,0.003081726,-0.00213507,0.002149896,0.0005625482
SmallShip,"Small Grid 9548",1038977.61767342,115931.247224981,1695689.11841999,0.25,2.432235E-05,-1.361966E-05,1.118146E-05,-1.676474E-05
SmallShip,"Small Grid 9138",1040497.36852791,118629.601350958,1695170.25904499,0.5833333,0.003739354,-0.002812922,-0.002444882,-0.000304617
SmallShip,"Small Grid 918",1041219.89928963,117971.657381231,1694585.86939655,0.5833333,0.01985133,-0.01428191,0.008394508,0.01093777
SmallShip,"Small Grid 3299",1036521.48730232,117829.041902715,1695211.46900593,0.3333333,0.03010228,0.02579903,-0.0143167,0.005965702
SmallShip,"Small Grid 4037",1040623.89697029,115132.298982793,1694099.45679889,0.5,0.02262156,-0.007225751,-0.0210833,0.003875289
SmallShip,"Small Grid 7436",1021472.3678313,147016.773842172,1571829.39405913,0.3333333,0.000236174,7.505389E-05,-0.0001878298,-0.0001219222
SmallShip,"Small Grid 317",1040630.14880135,115130.671541387,1694094.50660358,0.5,0.02090089,-0.01391761,0.008983552,0.01274532
SmallShip,"Small Grid 1828",1040624.95849373,115128.152010137,1694096.51197468,0.5833333,0.02350487,0.02121302,-0.006117606,-0.008066053
SmallShip,"Small Grid 2841",1036790.77929451,115564.61783045,1696095.07154499,0.5833333,0.0230329,-0.0186418,-0.01330224,-0.002459327
SmallShip,"Small Grid 9586",1023761.25229175,148138.228920297,1571864.06031889,0.5,0.0001790622,7.131323E-05,-0.0001594499,-3.941357E-05
LargeShip,"Lite Passenger Shuttle ATIO",1039607.79931404,117785.075838262,1695498.44654499,50,0,0,0,0
SmallShip,"Small Grid 109",1043817.89867927,118502.345613653,1692549.40259968,0.5833333,0.0003491515,-0.0002608839,-0.0001967486,0.0001230296
SmallShip,"Small Grid 3071",1039395.70800545,117481.627107793,1695732.10963093,1.083333,0.002820094,0.002816383,0.0001443699,8.806586E-06
SmallShip,"Small Grid 7015",1036707.47460701,117675.182771856,1695292.99439655,0.4166667,0.0006098286,0.0005645821,-0.0002137376,8.633733E-05
SmallShip,"Small Grid 8699",1035845.78515388,117851.683015997,1695182.13404499,0.3333333,0.005514988,0.004928398,0.002182276,0.001167756
SmallShip,"Small Grid 3907",1036023.52343513,117526.743807012,1695167.8811153,0.4166667,0.004311988,0.003795845,-0.002041102,-0.000136748
SmallShip,"Small Grid 8218",1036542.68212654,117793.837557012,1695213.71802936,0.3333333,0.005906403,0.004990123,0.002832789,0.001399845
LargeShip,"Large Grid 880",936989.583170604,302743.648153952,1924840.92075081,41.66666,51.62774,-10.40499,42.85468,26.84468
LargeShip,"Large Grid 4412",753401.438476732,-71912.2668897038,1744069.38515594,25,54.10516,-47.03369,-26.65517,-2.168568
SmallShip,"Small Grid 7837",1038612.84008552,122909.987947637,1671725.23072468,0.25,569.2538,108.8904,-104.6443,548.8555
SmallShip,"Small Grid 6462",1042077.54573585,117218.794832403,1693627.73121296,0.4166667,0.02493649,-0.02161341,-0.004196567,0.01170802
SmallShip,"Small Grid 250",1023432.744052,143380.78470643,1570625.06208891,0.25,0.009516954,-0.004915057,0.007745013,0.00253563
SmallShip,"Small Grid 3117",1022901.10440356,138700.056068735,1570005.61329741,0.3333333,0.03150117,-0.03056654,-0.007555485,0.0009618998
LargeShip,"Large Grid 4732",1032990.06944237,86425.6863574888,1756962.54451221,6.25,0,0,0,0
SmallShip,"Small Grid 4378",1037855.12499763,117715.330232793,1696288.34595905,0.5,0.0009269653,-0.0007023588,0.0003859401,0.0004658401
SmallShip,"Small Grid 2791",1023685.50809009,144150.853187876,1571260.72718901,0.25,0.0004224003,6.467185E-05,-0.0003722934,-0.0001887782
SmallShip,"Small Grid 2860",1037855.95116951,117716.710603887,1696288.33716999,0.3333333,0.0179725,-0.001098712,0.005220991,-0.01716231
LargeShip,"Raiding Station - Scourge",1008000.14258444,204420.45791256,1835648.29253656,97.91667,25.61226,3.516182,23.5841,9.349567
LargeShip,"Large Grid 3602",1032989.52452049,86425.9832324888,1756961.93123096,6.25,0,0,0,0
LargeShip,"Large Grid 8022",961320.796926203,47673.6497209244,1743941.63878232,25,0.6434288,-0.0664044,0.01103963,-0.6398978
SmallShip,"Incisor mk.1",1050433.6190082,255914.737497267,1889393.79737869,43.75,41.35652,11.72318,34.09726,20.256
LargeShip,"Large Grid 2870",961661.640451882,47621.8282544767,1746914.66938128,6.25,0,0,0,0
LargeShip,"Large Grid 6649",1013308.71269843,228408.5402663,2006010.28472551,18.75,51.45328,4.550646,28.29236,42.73492
LargeShip,"Large Grid 6555",828031.992589469,-145858.138408384,1705372.18701021,14.58333,51.58066,-28.86635,-41.79448,-8.973301
SmallShip,"Small Grid 7725",1028870.68496997,149259.781166391,1571634.90809721,0.25,0.0008170868,-0.0001047538,-0.0007595066,-0.0002825018
SmallShip,"Small Grid 5569",1021833.15884692,141534.59317811,1570592.45539946,0.25,0.0007662115,-0.0006256914,0.0003255252,-0.0002993722
LargeShip,"Large Grid 7347",1050013.00169563,113039.728974834,1730242.71644128,6.25,0,0,0,0
LargeShip,"Large Grid 7520",1050042.46751595,113016.620576396,1730217.28480065,6.25,0,0,0,0
LargeShip,"Large Grid 9610",1050059.95970345,113034.675385966,1730212.25843347,6.25,0,0,0,0
LargeShip,"Large Grid 2036",1050063.8464621,113022.826617783,1730263.00075712,6.25,0,0,0,0
LargeShip,"Large Grid 9895",1050012.87571907,113050.926667705,1730226.64222253,6.25,0,0,0,0
SmallShip,"Container MK-3",1043536.73608162,119386.495332891,1692922.29810749,0.75,0.02764308,-0.02227327,-0.002982249,0.01609807
LargeShip,"Arcanas X",1050441.21598159,115071.921624987,1731009.73622396,89.58333,0,0,0,0
Planet,"Titan-2124704365d19000",36384.5,226384.5,5796384.5,19000,0,0,0,0
Planet,"Mars-2044023682d120000-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-25",1031072.5,131072.5,1631072.5,120000,0,0,0,0
Planet,"Moon-1353915701d19000",16384.5,136384.5,-113615.5,19000,0,0,0,0
Asteroid,"Asteroid_67_8_113_4_1919362108",1038513.91573676,135868.173622457,1749359.30681246,256,0,0,0,0
Asteroid,"Asteroid_68_6_112_3_784945103",1046513.52214492,105930.286268463,1725355.28403405,64,0,0,0,0
Asteroid,"Asteroid_68_6_112_5_259505515",1045974.31815121,96774.7730338575,1727130.17496235,256,0,0,0,0
Asteroid,"Asteroid_67_6_112_0_712018941",1042854.37409706,107378.623574191,1721206.10271352,128,0,0,0,0
Asteroid,"Asteroid_67_7_112_5_1814991336",1029706.31040219,118192.876342972,1721533.50460443,512,0,0,0,0
